pathway	gene1 gene2
Oocyte meiosis	FBXO43	CDC20
Oocyte meiosis	MAD2L2	ANAPC10
Oocyte meiosis	MAD2L2	ANAPC10
Oocyte meiosis	PLCZ1	ITPR1
Oocyte meiosis	ITPR1	CALML6
Oocyte meiosis	CALML6	PPP3CA
Oocyte meiosis	CALML6	CAMK2A
Oocyte meiosis	PPP2CA	FBXO43
Oocyte meiosis	PPP2CA	FBXO43
Oocyte meiosis	CAMK2A	FBXO43
Oocyte meiosis	CAMK2A	FBXO43
Oocyte meiosis	PLK1	FBXO43
Oocyte meiosis	PLK1	FBXO43
Oocyte meiosis	CAMK2A	CDC25C
Oocyte meiosis	CAMK2A	CDC25C
Oocyte meiosis	FBXO43	CDC20
Oocyte meiosis	BUB1	SGO1
Oocyte meiosis	PTTG2...	ESPL1
Oocyte meiosis	ESPL1	REC8
Oocyte meiosis	YWHAQ	CDC25C
Oocyte meiosis	CDC25C	CDK1
Oocyte meiosis	CDC25C	CDK1
Oocyte meiosis	MOS	PKMYT1
Oocyte meiosis	MOS	PKMYT1
p53 signaling pathway	ATM	CHEK2
p53 signaling pathway	ATM	CHEK2
p53 signaling pathway	ATR	CHEK1
p53 signaling pathway	ATR	CHEK1
p53 signaling pathway	ATR	TP53
p53 signaling pathway	ATR	TP53
p53 signaling pathway	CHEK1	TP53
p53 signaling pathway	CHEK1	TP53
p53 signaling pathway	CHEK2	TP53
p53 signaling pathway	CHEK2	TP53
p53 signaling pathway	ATM	TP53
p53 signaling pathway	ATM	TP53
p53 signaling pathway	CDKN2A	MDM2
p53 signaling pathway	MDM4	MDM2
p53 signaling pathway	TP53	MDM2
p53 signaling pathway	MDM4	TP53
p53 signaling pathway	IGFBP3	IGF1
p53 signaling pathway	TP53	CDKN1A
p53 signaling pathway	TP53	SFN
p53 signaling pathway	TP53	RPRM
p53 signaling pathway	TP53	GADD45G
p53 signaling pathway	TP53	GTSE1
p53 signaling pathway	TP53	FAS
p53 signaling pathway	TP53	PIDD1
p53 signaling pathway	TP53	TNFRSF10B
p53 signaling pathway	TP53	BAX
p53 signaling pathway	TP53	PMAIP1
p53 signaling pathway	BBC3	TP53
p53 signaling pathway	BBC3	TP53AIP1
p53 signaling pathway	TP53	EI24
p53 signaling pathway	TP53	SHISA5
p53 signaling pathway	TP53	PERP
p53 signaling pathway	TP53	ZMAT3
p53 signaling pathway	TP53	SIAH1
p53 signaling pathway	TP53	IGFBP3
p53 signaling pathway	TP53	SERPINE1
p53 signaling pathway	TP53	ADGRB1
p53 signaling pathway	TP53	CD82
p53 signaling pathway	TP53	THBS1
p53 signaling pathway	TP53	SERPINB5
p53 signaling pathway	TP53	DDB2
p53 signaling pathway	TP53	RRM2B
p53 signaling pathway	TP53	GADD45G
p53 signaling pathway	TP53	SESN3
p53 signaling pathway	TP53	PTEN
p53 signaling pathway	TP53	TSC2
p53 signaling pathway	TP53	IGFBP3
p53 signaling pathway	TP53	STEAP3
p53 signaling pathway	TP53	MDM2
p53 signaling pathway	TP53	COP1
p53 signaling pathway	TP53	RCHY1
p53 signaling pathway	TP53	CCNG1
p53 signaling pathway	TP53	SIAH1
p53 signaling pathway	TP53	PPM1D
p53 signaling pathway	TP53	TP73
p53 signaling pathway	BID	CYCS
p53 signaling pathway	TP53AIP1	CYCS
p53 signaling pathway	SIAH1	CYCS
p53 signaling pathway	CYCS	CASP9
p53 signaling pathway	APAF1	CASP9
p53 signaling pathway	CASP9	CASP3
p53 signaling pathway	CASP8	CASP3
p53 signaling pathway	TNFRSF10B	CASP8
p53 signaling pathway	TP53	SIVA1
p53 signaling pathway	TP53	AIFM2
p53 signaling pathway	SIVA1	BCL2L1
p53 signaling pathway	SIVA1	BCL2
p53 signaling pathway	BCL2L1	BAX
p53 signaling pathway	BCL2	BAX
PI3K-Akt signaling pathway	CSF1	CSF1R
PI3K-Akt signaling pathway	CSF1R	GRB2
PI3K-Akt signaling pathway	GRB2	SOS1
PI3K-Akt signaling pathway	SOS1	HRAS
PI3K-Akt signaling pathway	HRAS	RAF1
PI3K-Akt signaling pathway	RAF1	MAP2K1
PI3K-Akt signaling pathway	RAF1	MAP2K1
PI3K-Akt signaling pathway	MAP2K1	MAPK1
PI3K-Akt signaling pathway	MAP2K1	MAPK1
PI3K-Akt signaling pathway	MTOR	RPS6KB1
PI3K-Akt signaling pathway	MTOR	RPS6KB1
PI3K-Akt signaling pathway	RPS6KB1	EIF4B
PI3K-Akt signaling pathway	RPS6KB1	EIF4B
PI3K-Akt signaling pathway	RPS6KB1	RPS6
PI3K-Akt signaling pathway	RPS6KB1	RPS6
PI3K-Akt signaling pathway	C00020	PRKAA1
PI3K-Akt signaling pathway	STK11	PRKAA1
PI3K-Akt signaling pathway	CSF1R	IRS1
PI3K-Akt signaling pathway	IRS1	PIK3CA
PI3K-Akt signaling pathway	HRAS	PIK3CA
PI3K-Akt signaling pathway	TLR2	RAC1
PI3K-Akt signaling pathway	RAC1	PIK3CA
PI3K-Akt signaling pathway	SYK	CD19
PI3K-Akt signaling pathway	SYK	CD19
PI3K-Akt signaling pathway	JAK1	PIK3CA
PI3K-Akt signaling pathway	PTK2	PIK3CA
PI3K-Akt signaling pathway	PIK3CA	C05981
PI3K-Akt signaling pathway	C05981	PDPK1
PI3K-Akt signaling pathway	PDPK1	RPS6KB1
PI3K-Akt signaling pathway	PDPK1	RPS6KB1
PI3K-Akt signaling pathway	PDPK1	PRKCA
PI3K-Akt signaling pathway	PDPK1	PRKCA
PI3K-Akt signaling pathway	PDPK1	PKN3
PI3K-Akt signaling pathway	PDPK1	PKN3
PI3K-Akt signaling pathway	PDPK1	C8orf44-SGK3...
PI3K-Akt signaling pathway	PDPK1	C8orf44-SGK3...
PI3K-Akt signaling pathway	PIK3R6	C05981
PI3K-Akt signaling pathway	C05981	AKT3
PI3K-Akt signaling pathway	AKT3	NOS3
PI3K-Akt signaling pathway	AKT3	NOS3
PI3K-Akt signaling pathway	AKT3	CREB3
PI3K-Akt signaling pathway	AKT3	CREB3
PI3K-Akt signaling pathway	AKT3	CHUK
PI3K-Akt signaling pathway	AKT3	CHUK
PI3K-Akt signaling pathway	AKT3	MDM2
PI3K-Akt signaling pathway	AKT3	MDM2
PI3K-Akt signaling pathway	AKT3	RAF1
PI3K-Akt signaling pathway	AKT3	RAF1
PI3K-Akt signaling pathway	AKT3	GSK3B
PI3K-Akt signaling pathway	AKT3	GSK3B
PI3K-Akt signaling pathway	AKT3	CDKN1A
PI3K-Akt signaling pathway	AKT3	CDKN1A
PI3K-Akt signaling pathway	AKT3	CDKN1B
PI3K-Akt signaling pathway	AKT3	CDKN1B
PI3K-Akt signaling pathway	AKT3	FOXO3
PI3K-Akt signaling pathway	AKT3	FOXO3
PI3K-Akt signaling pathway	AKT3	BAD
PI3K-Akt signaling pathway	AKT3	BAD
PI3K-Akt signaling pathway	AKT3	CASP9
PI3K-Akt signaling pathway	AKT3	CASP9
PI3K-Akt signaling pathway	GSK3B	GYS1
PI3K-Akt signaling pathway	GSK3B	GYS1
PI3K-Akt signaling pathway	GSK3B	MYC
PI3K-Akt signaling pathway	GSK3B	MYC
PI3K-Akt signaling pathway	GSK3B	CCND1
PI3K-Akt signaling pathway	GSK3B	CCND1
PI3K-Akt signaling pathway	FOXO3	CDKN1B
PI3K-Akt signaling pathway	FOXO3	RBL2
PI3K-Akt signaling pathway	FOXO3	PCK1
PI3K-Akt signaling pathway	FOXO3	G6PC
PI3K-Akt signaling pathway	FOXO3	FASLG
PI3K-Akt signaling pathway	FOXO3	BCL2L11
PI3K-Akt signaling pathway	CREB3	BCL2
PI3K-Akt signaling pathway	CREB3	MCL1
PI3K-Akt signaling pathway	NFKB1	BCL2L1
PI3K-Akt signaling pathway	NFKB1	MYB
PI3K-Akt signaling pathway	MDM2	TP53
PI3K-Akt signaling pathway	YWHAQ	FOXO3
PI3K-Akt signaling pathway	YWHAQ	BAD
PI3K-Akt signaling pathway	BAD	BCL2L1
PI3K-Akt signaling pathway	BAD	BCL2
PI3K-Akt signaling pathway	EIF4EBP1	EIF4E
PI3K-Akt signaling pathway	CRTC2	AKT3
PI3K-Akt signaling pathway	CRTC2	AKT3
PI3K-Akt signaling pathway	PDPK1	AKT3
PI3K-Akt signaling pathway	PDPK1	AKT3
PI3K-Akt signaling pathway	PHLPP2	AKT3
PI3K-Akt signaling pathway	PHLPP2	AKT3
PI3K-Akt signaling pathway	PPP2R3B	AKT3
PI3K-Akt signaling pathway	PPP2R3B	AKT3
PI3K-Akt signaling pathway	PTEN	C05981
PI3K-Akt signaling pathway	PTEN	C05981
PI3K-Akt signaling pathway	THEM4	AKT3
PI3K-Akt signaling pathway	CHUK	NFKB1
PI3K-Akt signaling pathway	CHUK	NFKB1
PI3K-Akt signaling pathway	MTCP1	AKT3
PI3K-Akt signaling pathway	NR4A1	RXRA
PI3K-Akt signaling pathway	NR4A1	BCL2
PI3K-Akt signaling pathway	AKT3	NR4A1
PI3K-Akt signaling pathway	AKT3	NR4A1
PI3K-Akt signaling pathway	IGH	SYK
PI3K-Akt signaling pathway	MAGI1	PTEN
Cellular senescence	TGFB1	TGFBR1
Cellular senescence	TGFBR1	SMAD2
Cellular senescence	RRAS2	PIK3CA
Cellular senescence	RRAS2	RASSF5
Cellular senescence	RRAS2	RAF1
Cellular senescence	RRAS2	C16844...
Cellular senescence	PIK3CA	C05981
Cellular senescence	C05981	AKT3
Cellular senescence	MYC	CDKN2A
Cellular senescence	RASSF5	HIPK3
Cellular senescence	C00076	CALML6
Cellular senescence	C00076	CAPN1
Cellular senescence	CAPN1	IL1A
Cellular senescence	CALML6	PPP3CA
Cellular senescence	RHEB	MTOR
Cellular senescence	RAF1	MAP2K1
Cellular senescence	RAF1	MAP2K1
Cellular senescence	MAP2K1	MAPK1
Cellular senescence	MAP2K1	MAPK1
Cellular senescence	MAPK1	ETS1
Cellular senescence	MAPK1	ETS1
Cellular senescence	MAP2K3	MAPK14
Cellular senescence	MAP2K3	MAPK14
Cellular senescence	MAPK1	MAPK14
Cellular senescence	MAPK1	MAPK14
Cellular senescence	MAPK14	TP53
Cellular senescence	MAPK14	TP53
Cellular senescence	CHEK2	TP53
Cellular senescence	CHEK2	TP53
Cellular senescence	ATR	CHEK1
Cellular senescence	ATR	CHEK1
Cellular senescence	CHEK1	TP53
Cellular senescence	CHEK1	TP53
Cellular senescence	MAPK14	CDKN2A
Cellular senescence	MAPK14	CDKN2A
Cellular senescence	AKT3	FOXO3
Cellular senescence	AKT3	FOXO3
Cellular senescence	AKT3	TSC1
Cellular senescence	AKT3	TSC1
Cellular senescence	CHEK1	CDC25A
Cellular senescence	CHEK1	CDC25A
Cellular senescence	MAPKAPK2	ZFP36L1
Cellular senescence	MAPKAPK2	ZFP36L1
Cellular senescence	MTOR	EIF4EBP1
Cellular senescence	MTOR	EIF4EBP1
