pathway	gene1 gene2
Pathways in cancer	GLI1	BMP2
Pathways in cancer	GLI1	GLI1
Pathways in cancer	GLI1	WNT16...
Pathways in cancer	GLI1	HHIP
Pathways in cancer	GLI1	PTCH1
Pathways in cancer	NFKBIA	NFKB1
Pathways in cancer	JUP	LEF1
Pathways in cancer	SMAD2	SMAD4
Pathways in cancer	EPAS1	ARNT
Pathways in cancer	EPAS1	CREBBP
Pathways in cancer	RARA	JUP
Pathways in cancer	PML	JUP
Pathways in cancer	RUNX1	JUP
Pathways in cancer	C05981	AKT3
Pathways in cancer	C00165	PRKCA
Pathways in cancer	C00076	PRKCA
Pathways in cancer	RB1	E2F1
Pathways in cancer	RHOA	MAPK8
Pathways in cancer	PPARG	RXRA
Pathways in cancer	GSK3B	CTNNB1
Pathways in cancer	NKX3-1	AKT3
Pathways in cancer	RASSF1	STK4
Pathways in cancer	RASSF1	CCND1
Pathways in cancer	RASSF1	HRAS
Pathways in cancer	DAPK1	MAPK1
Pathways in cancer	SPI1	CSF3R
Pathways in cancer	SPI1	CSF2RA
Pathways in cancer	SPI1	CSF1R
Pathways in cancer	CEBPA	CSF3R
Pathways in cancer	CEBPA	IL6
Pathways in cancer	CEBPA	E2F1
Pathways in cancer	CEBPA	MYC
Pathways in cancer	CEBPA	CSF3R
Pathways in cancer	CEBPA	IL6
Pathways in cancer	CEBPA	E2F1
Pathways in cancer	CEBPA	MYC
Pathways in cancer	RUNX1	CSF1R
Pathways in cancer	TP53	CDKN1A
Pathways in cancer	CDKN2A	MDM2
Pathways in cancer	EGLN2	EPAS1
Pathways in cancer	RARA	CCNA1
Pathways in cancer	PML	CCNA1
Pathways in cancer	KITLG	KIT
Pathways in cancer	FLT3LG	FLT3
Pathways in cancer	FGF1	FGFR1
Pathways in cancer	RASSF5	RASSF1
Pathways in cancer	ETS1	VEGFD
Pathways in cancer	ETS1	MMP1
Pathways in cancer	ETS1	CXCL8
Pathways in cancer	ETS1	CCND1
Pathways in cancer	ETS1	CDK4
Pathways in cancer	BID	CYCS
Pathways in cancer	C00535	AR
Pathways in cancer	C03917	AR
Pathways in cancer	C00951...	AR
Pathways in cancer	C00187	SHH
Pathways in cancer	C00122	EGLN2
Pathways in cancer	RUNX1	CSF1R
Pathways in cancer	PLD1	C00416
Pathways in cancer	PTEN	C05981
Pathways in cancer	EGF	EGFR
Pathways in cancer	PIK3CA	C05981
Pathways in cancer	CTNNB1	LEF1
Pathways in cancer	MAPK1	ETS1
Pathways in cancer	MAPK1	ETS1
Pathways in cancer	PLCG1	C00165
Pathways in cancer	PLCG1	C00076
Pathways in cancer	SMO	SUFU
Pathways in cancer	SUFU	GLI1
Pathways in cancer	KIF7	SUFU
Pathways in cancer	JAG1	NOTCH1
Pathways in cancer	DLL3	NOTCH1
Pathways in cancer	NOTCH1	ERBB2
Pathways in cancer	NOTCH1	HES1
Pathways in cancer	NOTCH1	HEY1
Pathways in cancer	NOTCH1	FLT4
Pathways in cancer	C00122	C00149
Pathways in cancer	C01471	KEAP1
Pathways in cancer	C00704	KEAP1
Pathways in cancer	C21641	KEAP1
Pathways in cancer	C21642	KEAP1
Pathways in cancer	C00027	KEAP1
Pathways in cancer	C16844	KEAP1
Pathways in cancer	C00533	KEAP1
Pathways in cancer	KEAP1	NFE2L2
Pathways in cancer	NFE2L2	HMOX1
Pathways in cancer	NFE2L2	NQO1
Pathways in cancer	NFE2L2	GSTO2
Pathways in cancer	NFE2L2	TXNRD2
Pathways in cancer	TP53	GADD45G
Pathways in cancer	TP53	BAK1
Pathways in cancer	TP53	POLK
Pathways in cancer	TP53	BAX
Pathways in cancer	TP53	DDB2
Pathways in cancer	FRAT1...	DVL1
Pathways in cancer	EDNRA	GNA11
Pathways in cancer	GNA11	PLCB1
Pathways in cancer	PLCB1	C01245
Pathways in cancer	PLCB1	C00165
Pathways in cancer	C00165	PRKCA
Pathways in cancer	C00165	RASGRP1
Pathways in cancer	PLCB1	C00076
Pathways in cancer	C00076	RASGRP1
Pathways in cancer	RASGRP1	HRAS
Pathways in cancer	C00951	ESR1
Pathways in cancer	MAPK1	RPS6KA5
Pathways in cancer	MAPK1	RPS6KA5
Pathways in cancer	RPS6KA5	MYC
Pathways in cancer	PMAIP1	BCL2
Pathways in cancer	BBC3	BCL2
Pathways in cancer	BAD	BCL2
Pathways in cancer	BCL2L11	BCL2
Pathways in cancer	BCL2	BAX
Pathways in cancer	BAX	CYCS
Pathways in cancer	CYCS	APAF1
Pathways in cancer	CASP9	CASP3
Pathways in cancer	STAT5A	PIM2...
Pathways in cancer	JAK1	STAT5A
Pathways in cancer	JAK1	STAT5A
Pathways in cancer	JAK1	STAT2
Pathways in cancer	JAK1	STAT2
Pathways in cancer	MTOR	RPS6KB1
Pathways in cancer	MTOR	RPS6KB1
Pathways in cancer	EPO	CSF2RB
Pathways in cancer	CSF2RB	JAK1
Pathways in cancer	ALK	JAK1
Pathways in cancer	ALK	PIK3CA
Pathways in cancer	ALK	HRAS
Pathways in cancer	ALK	HRAS
Pathways in cancer	PRKCA	ELK1
Pathways in cancer	C00076	CALML6
Pathways in cancer	CALML6	CAMK2A
Pathways in cancer	CAMK2A	HRAS
Pathways in cancer	CAMK2A	HRAS
Pathways in cancer	BCL2L1	BAX
Pathways in cancer	BCL2L1	BAK1
Pathways in cancer	BAK1	CYCS
Pathways in cancer	ALK	PLCG1
Pathways in cancer	F2	EDNRA
Pathways in cancer	KNG1	EDNRA
Pathways in cancer	EDN1	EDNRA
Pathways in cancer	AGT	EDNRA
Pathways in cancer	F2	LPAR6
Pathways in cancer	F2	CXCR4
Pathways in cancer	AGT	LPAR6
Pathways in cancer	AGT	CXCR4
Pathways in cancer	C00681	LPAR6
Pathways in cancer	C00681	CXCR4
Pathways in cancer	CXCL12	CXCR4
Pathways in cancer	C00584	PTGER1
Viral carcinogenesis	MDM2	TP53
Viral carcinogenesis	CREBBP	TP53
Viral carcinogenesis	PSMC1	RB1
Prostate cancer	PIK3CA	PDPK1
Prostate cancer	PIK3CA	PDPK1
Prostate cancer	PIK3CA	AKT3
Prostate cancer	PIK3CA	AKT3
Prostate cancer	EGF	EGFR
Prostate cancer	EGFR	PIK3CA
Prostate cancer	EGFR	GRB2
Prostate cancer	GRB2	SOS1
Prostate cancer	SOS1	HRAS
Prostate cancer	HRAS	ARAF
Prostate cancer	ARAF	MAP2K1
Prostate cancer	ARAF	MAP2K1
Prostate cancer	MAP2K1	MAPK1
Prostate cancer	MAP2K1	MAPK1
Prostate cancer	PDPK1	AKT3
Prostate cancer	PDPK1	AKT3
Prostate cancer	AKT3	MDM2
Prostate cancer	AKT3	MDM2
Prostate cancer	AKT3	CHUK
Prostate cancer	AKT3	CHUK
Prostate cancer	AKT3	MTOR
Prostate cancer	AKT3	MTOR
Prostate cancer	AKT3	CASP9
Prostate cancer	AKT3	CASP9
Prostate cancer	AKT3	BAD
Prostate cancer	AKT3	BAD
Prostate cancer	AKT3	FOXO1
Prostate cancer	AKT3	FOXO1
Prostate cancer	AKT3	CDKN1A
Prostate cancer	AKT3	CDKN1A
Prostate cancer	AKT3	CDKN1B
Prostate cancer	AKT3	CDKN1B
Prostate cancer	AKT3	GSK3B
Prostate cancer	AKT3	GSK3B
Prostate cancer	GSK3B	CREB3
Prostate cancer	GSK3B	CREB3
Prostate cancer	GSK3B	CTNNB1
Prostate cancer	GSK3B	CTNNB1
Prostate cancer	CHUK	NFKBIA
Prostate cancer	CHUK	NFKBIA
Prostate cancer	E2F1	RB1
Prostate cancer	MDM2	TP53
Prostate cancer	CREB3	CREBBP
Prostate cancer	CTNNB1	CREBBP
Prostate cancer	NFKB1	NFKBIA
Prostate cancer	CTNNB1	LEF1
Prostate cancer	LEF1	CCND1
Prostate cancer	NFKB1	BCL2
Prostate cancer	GSTP1	C16038
Prostate cancer	CREBBP	TP53
Prostate cancer	NKX3-1	AKT3
Prostate cancer	PTEN	C05981
Small cell lung cancer	PIK3CA	AKT3
Small cell lung cancer	CKS1B	SKP2
Small cell lung cancer	PTK2	PIK3CA
Small cell lung cancer	AKT3	CHUK
Small cell lung cancer	AKT3	CHUK
Small cell lung cancer	CHUK	NFKBIA
Small cell lung cancer	CHUK	NFKBIA
Small cell lung cancer	ZBTB17	CDKN2B
Small cell lung cancer	NFKB1	CCND1
Small cell lung cancer	NFKB1	BIRC8
Small cell lung cancer	NFKB1	BCL2L1
Small cell lung cancer	NFKB1	TRAF1
Small cell lung cancer	NFKB1	PTGS2
Small cell lung cancer	NFKB1	NOS2
Small cell lung cancer	SKP2	CDKN1B
Small cell lung cancer	E2F1	RB1
Small cell lung cancer	NFKBIA	NFKB1
Small cell lung cancer	CYCS	CASP9
Small cell lung cancer	APAF1	CASP9
Small cell lung cancer	PTEN	C05981
Small cell lung cancer	BCL2	BAX
Small cell lung cancer	CASP9	CASP3
Small cell lung cancer	TP53	CDKN1A
Small cell lung cancer	TP53	GADD45G
Small cell lung cancer	TP53	BAX
Small cell lung cancer	TP53	BAK1
Small cell lung cancer	TP53	DDB2
Small cell lung cancer	TP53	POLK
Gastric cancer	SHC2	GRB2
Gastric cancer	GRB2	SOS1
Gastric cancer	SOS1	HRAS
Gastric cancer	HRAS	ARAF
Gastric cancer	ARAF	MAP2K1
Gastric cancer	ARAF	MAP2K1
Gastric cancer	MAP2K1	MAPK1
Gastric cancer	MAP2K1	MAPK1
Gastric cancer	PIK3CA	C05981
Gastric cancer	C05981	AKT3
Gastric cancer	AKT3	MTOR
Gastric cancer	AKT3	MTOR
Gastric cancer	MTOR	RPS6KB1
Gastric cancer	TP53	CDKN1A
Gastric cancer	TP53	GADD45G
Gastric cancer	TP53	BAX
Gastric cancer	TP53	BAK1
Gastric cancer	TP53	DDB2
Gastric cancer	TP53	POLK
Gastric cancer	SMAD2	SMAD4
Gastric cancer	FZD10	DVL1
Gastric cancer	DVL1	FRAT1...
Gastric cancer	DVL1	GSK3B
Gastric cancer	CTNNB1	LEF1
Gastric cancer	LEF1	MYC
Gastric cancer	LEF1	CCND1
Gastric cancer	HGF	MET
Gastric cancer	MET	GRB2
Gastric cancer	GRB2	SOS1
Gastric cancer	SOS1	HRAS
Gastric cancer	HRAS	ARAF
Gastric cancer	ARAF	MAP2K1
Gastric cancer	ARAF	MAP2K1
Gastric cancer	MAP2K1	MAPK1
Gastric cancer	MAP2K1	MAPK1
Gastric cancer	MET	GAB1
Gastric cancer	GAB1	PIK3CA
Gastric cancer	PIK3CA	C05981
Gastric cancer	C05981	AKT3
Gastric cancer	AKT3	MTOR
Gastric cancer	AKT3	MTOR
Gastric cancer	AKT3	TP53
Gastric cancer	AKT3	TP53
Gastric cancer	TP53	BCL2
Gastric cancer	FGF1	FGFR2
Gastric cancer	FGFR2	GRB2
Gastric cancer	FGFR2	GAB1
Gastric cancer	AKT3	GSK3B
Gastric cancer	CDH1	CTNNA1
Gastric cancer	CDH1	JUP
Gastric cancer	CDH1	CTNNB1
Gastric cancer	CDH1	CTNNB1
Gastric cancer	CTNNB1	LEF1
Gastric cancer	LEF1	MYC
Gastric cancer	LEF1	CCND1
Gastric cancer	TP53	CDKN1A
Gastric cancer	TP53	CDKN1A
Gastric cancer	TP53	GADD45G
Gastric cancer	TP53	GADD45G
Gastric cancer	TP53	BAX
Gastric cancer	TP53	BAX
Gastric cancer	TP53	BAK1
Gastric cancer	TP53	BAK1
Gastric cancer	TP53	DDB2
Gastric cancer	TP53	DDB2
Gastric cancer	TP53	POLK
Gastric cancer	TP53	POLK
Gastric cancer	CDX2	MUC2
Gastric cancer	CDX2	CDH17
Gastric cancer	CDX2	REG4
Gastric cancer	CDX2	ABCB1
Gastric cancer	CDX2	SHH
Gastric cancer	RB1	E2F1
Gastric cancer	SMAD2	CDKN2B
Gastric cancer	SMAD2	CDKN2B
Gastric cancer	SMAD2	CDKN1A
Gastric cancer	SMAD2	CDKN1A
